score,review,date
4.1,出会った大切な人達を想いながら自分の気持ちに耳を傾けて行動して、自分自身の運命を作っていくのを客観的に見れてよかた自分の考えてることとか、見えてる景色ってほんまに狭いのに忘れそうになるから、忘れかけた時にまた見たいやつ！！,2022/11/17
0.0,やっとジェニーと一緒に過ごすことができて人生で最高の日々、そこから涙が止まらない。。,2022/11/16
4.0,真っ直ぐで素直で頑張りやなフォレストガンプは見ていて気持ちよかった。頭は悪くても真っ直ぐで素直な気持ちがあれば人を救えるし、行動して結果を出せるし、人に愛されるのだと知った。彼の行動力にも脱帽。,2022/11/16
4.0,走り続けるって簡単なことじゃないけど自分に正直で真っ直ぐなガンプに元気をもらえた,2022/11/16
4.3,少し知能は足りないが、ひたむきにひとつのことに取り組んで結果を出すフォレストの生き方に勇気を貰いました。新年を迎えるシーンで暗い顔をしていたダン中尉がフォレストと関わることで変わっていき、終盤で結婚式にパートナーを連れて登場するシーンは感動しました。,2022/11/16
4.5,観やすかったですジェニーの行動がちょと難しいですが面白かったです,2022/11/15
5.0,走りたいから走っているだけなのに、どんどんと仲間が増えていくシーン。,2022/11/15
5.0,昔見たのを思い出した。悲しいエンドだけどフォレストが貫いた素直さは心の底から尊敬できる。,2022/11/15
2.5,娯楽作品としては素晴らしいものだが。本作を鑑賞時、御多分に漏れずその一期一会という副題に騙されて感動したのを憶えている。ガンプは知的障害がありながらも何事にもひたむきに突き進んでゆく純粋な青年、かたや幼馴染のジェニーはアメリカの闇を背負って破滅してゆく、まさにアメリカの光と闇を描いた作品だと思っていた。確かに光と闇を描いた作品だったが、監督であるゼメキスの本音が映画評論家町山氏によって暴露される。ガンプはアメリカの古き良き伝統、保守の象徴としてベトナム戦争で英雄となり、実業家としても成功をおさめる。そしてジェニーはリベラルの象徴として、ベトナム戦争に反対し、ドラッグやセックスに溺れておそらくはエイズにかかり死んでゆく。愚かなリベラルの象徴としてジェニーを描いた旨、ゼメキスは述べている。本作は当時の賞を総なめにし、この作品をプロパガンダとして利用した共和党は圧勝する。確かに町山氏のいう通り、ガンプが生きた当時のアラバマ州はキング牧師による公民権運動真っ盛りの時代。その点にはまったく触れておらず、アメリカの闇の部分を意図的に覆い隠したと言われても仕方ないだろう。同じくゼメキスの傑作「バックトゥザフューチャー」も保守派にとって輝かしい50年代を描いた作品としてプロパガンダとして利用されている。かつての映画創世記にその映画技法を確立したグリフィスの大作「国民の創生」は歴史的大ヒットをおさめた。しかしその内容がKKKを美化する内容であったことから、すでに消滅していたKKKを復活させることとなり、グリフィスは生涯にわたって後悔したようだ。この例のように映画は多くの感動を生むと同時にその社会的影響力ははかり知れない。特に本作は熟練監督によるストーリーテリングが見事なだけにより罪深いと言える。本作の罪は大きいが、その価値は逆の意味で高まったとも言える。「国民の創生」と同じく反面教師として広く伝えていくべきではないだろうか。,2022/11/15
3.0,強運男の半生。ジェニーがずるい。アメリカの事件や歴史を知ってると面白いかも。,2022/11/15
3.9,正直者が救われる映画この映画みたいに上手くいけばいいけどなぁ〜、実際難しいよね笑さすがにアホすぎる主人公やけど、やりたいこと、愛に対する真っ直ぐさは脱帽,2022/11/15
3.8,足が速くてモテるのは小学生までというけど、彼は足が速くて、走るのが好き（？）で人生できちゃったね,2022/11/15
4.6,一途すぎ、わたしはババが好き良い言葉ありすぎ！神様と仲直りって良い訳,2022/11/14
2.0,彼女勝手すぎんか？こうしてみると、多くの日本人はハリウッド映画を通して日本の近代史よりもアメリカの近代史の方に馴染みが深い気がするな。恐るべしハリウッド。,2022/11/14
4.2,人と出会うこと、良く関わっていくこと、一期一会の出会いを大切にしていくことの良さを改めて認識させられる。,2022/11/14
4.3,人生は箱を開けるまで何が起こるか分からない。だからこそ、人は周りの人の力を借りたり、お互い助け合って支え合いながら生きていくこと、人との出会いには意味があって、その出会いは自分自身の成長にも繋がってく。無意味な人などこの世にはいない。この世に生まれてきたからには一人一人にそれぞれに大切な使命をもって生を授かってる。また、人生は自分自身の力で切り開いていくことが出来る。だから、自分を信じんで正しいと思うことを突き進んで貫きとおそう,2022/11/14
5.0,"この作品はある男性の半生を描いているけど、これに尽きると思う。どんなに辛いことがあっても、前を向いて進んでいれば幸せを感じることができるようになる。劇中では、IQが低いから何も考えずに進めているように読み取られやすいけど、僕達にも当てはまると思う。自分語りになるが、中学生の頃にイジメやらで鬱病のようになり自殺を図ろうとしたことがあった。その時のことを考えると、過去ばかりを見て""どうせこの先幸せなんかない""、と考えていました。前を向く怖さはものすごくあったけど、踏み出してからはものすごく楽になったのを覚えてます。あの時前に踏み出すことを選択したので、たくさんの映画に出会えたり、自分の夢を見つけることができたと思う。もし今の現状に悩んでいたり、人生に悲観している人がいたら、前を向いて踏み出せるようにこの映画をオススメします。",2022/11/14
5.0,人生はチョコレートの箱みたい食べるまで中身は分からないババの下唇エビのことならなんでも知ってる神様との仲直り死は生の一部投げる石が足らない時もある,2022/11/13
4.0,良質なヒューマンドラマ。フォレストは人生を教えられ、理解している。それ以外の人間は理解力があるからこそ、人生に教えられ、あがいている。作中の台詞「神様と仲直り(make his peace with God)」は素晴らしい邦訳で、どしゃ降りの雨に出会うたびに思いだす（あとショーシャンクも）。「神様と喧嘩」するような、そんな思春期のティーンにもおすすめしたい良品。,2022/11/13
