score,review,date
3.8,ジェット団の黄色、オレンジ、ブルーの配色と、シャーク団の黒、紫、赤の配色の対比がお洒落で良かった。当時のアメリカの移民に対する差別や貧困など、全体的に重く暗いテーマではあるものの、軽快なダンスと歌で純粋なミュージカル作品として楽しめました。アメリカに強く憧れながらも、アメリカでの生きづらさに葛藤を覚える彼らの姿が苦しい,2022/11/15
3.5,丁寧なショットばかりですごいと言われる理由はわかるけど、不良バレリーナみたいなのにちょっと心が戸惑ってしまった,2022/11/13
3.6,(再鑑賞)ニューヨークジェット団とシャーク団の対立マリアとトニーの恋の行方ケンカもダンスの様に華麗にスピルバーグ版の方が印象に残シーンが多かった,2022/11/06
4.1,名曲ばかり。初めてフルで見たけどセリフも聞き取りやすいし、展開も早くて観やすかった,2022/11/05
3.0,予想外の結末、、丁度いまの去年、スピルバーグ版を見たいなって思ってたけど見れなかったのを思い出してレンタル^^,2022/11/03
3.5,リメイク版観たの今年だったか。希望に満ちているトゥナイト聴いても先の展開の重さが引っぱってくる。マンボとアメリカだけが楽しみで、愛よりも憎しみが濃厚なあの夜はやっぱりしんどい。,2022/10/31
4.5,第34回アカデミー賞作品賞受賞リメイク作を観てから半年経ち、冒頭のシーンが忠実に再現されていることに驚きかなり引き込まれました。動きと歌に関してこちらの作品の方が圧倒的に際立っているように感じ、舞台感が強く臨場感がありました。こちらを先に観ると、流れるようにすすむので登場人物の人間関係を掴みづらいように思いました。光と影、色で視覚的に表現しているのも分かりやすかったです。今作とリメイク作品を見比べて観ることができとても面白かったです。曲はアメリカが好きです。アカデミー賞作品賞74作品目鑑賞,2022/10/28
0.0,前知識なく見たロミオとジュリエットチャップリンを感じた予想していたエンディングじゃなくて驚いた踊りのカメラワーク観ていて楽しいどっちの組もの女性3人の踊り最高だった憎しみ、負の連鎖しか生まれないアニタが一番可哀想に思えてしまった...,2022/10/20
4.1,リメイク版を先に観てたから、当時ラストシーンの衝撃的すぎる展開に映画館で言葉が出なくて呆然としてたのを思い出した。トゥナイトが流れる階段の有名なシーンが大好きロミオとジュリエット観たくなった。,2022/10/19
4.3,人種的に対立するチンピラグループの争いをモチーフに、戦争や幸福etc.（つまり「人間とは」）をミュージカルでうまく表現してる。ミュージカルなので、戯画化というか、リアルではない演技や演出によって、より真実味に到達できるというか…。こういうの好き（ほぼ表情が無い人形劇の人形に感情移入できるみたいな）。戦争の原因の分析は古くさいけど。ベルナルドのダンス美しい。エンドロールのグラフィティ風はいただけない。,2022/10/19
0.0,BD買ってまで観る価値ある〜！リメイク版とオリジナル版で曲の使われているシーンが違ってて「ここで使う〜！？最高〜🤘」って1人で盛り上がってたジェット団が指パッチンしながら少しずつミュージカルが始まる感じたまらん〜coolの終わり方、オリジナル版が優勝ですクールすぎるみんな,2022/10/18
4.5,すごく良かった。楽しかったけど、結構つらい展開もあった。70mmフィルムカメラで撮られた街がとても綺麗。ささやかな希望を感じる終わり方が素晴らしかったし、遊び心のあるエンドロールも好き。,2022/10/18
0.0,ダダーン！！！スピルバーグ版を先に観たばっかりに、結構衝撃作だったし、現場セットはシンプルだけど、フォーメーションダンスがしっかりしすぎ！な位しっかりしていて😭マリアもダンス上手いからヒィ！となる。最後の最後にびっくりしたけど、こんなカッコいいエンドロールの表現あるんだ。。。。グラフィティー紀元前のスケッチみたいな描き方が素晴らし過ぎた👏👏👏,2022/10/07
4.5,"リメイク版を観て、大学の講義でもウエストサイド物語が扱われるものを取ったからこちらも鑑賞してみた。どちらとっても素敵ですが、リメイク版を先に観てしまったからか私はこちらの方が好きかな。リメイク版の色の演出がやっぱり好き。あと一番好きな曲の""Gee, Officer Krupke!""もリメイク版の方が好みだったなぁ。でももちろんこちらもとっても素敵でした。",2022/10/06
3.9,スピルバーグ版を見てからの視聴こっちの方が好きだけど、スピ版見てなかったら古くて見てなかっただろうなサントラ欲しくなったなー💃🕺,2022/10/06
