score,review,date
5.0,わーーーなんて言葉で始めたらいいかわからない、、いやあああ昔を遡っての話が濃すぎて壮絶すぎて、、すごかった、、バーフバリ父かっこよすぎるよ、、完璧すぎて、もう、心奪われた、、強くて優しくてみんなから慕われる、アマレンドラ・バーフバリ、、偉大すぎる、かっこよすぎる、、王を称えよ、だこれはほんとに、、父バーフの物語に引き込まれすぎて、しかも回想の方が長かったし、息子バーフに時間戻ってからのラストが思ったよりあっさりしてると感じてしまった、でもよかったな〜前半から2日空いちゃったから、息子バーフの方の物語もしっかり鮮明に頭に入った状態でのラストだったらまた違ったかなとも思ったり、！だから前半の方からもう一回みたい！今度は続けて！計6時間の壮大な物語を通しでみたい！ほんとにあっという間だった、すんごい引き込まれた、なんて言えばいいんだろうこの気持ち、うわあああっていう感じ、もうほんとに壮大でものすごいものをみてしまったなという感じ、インド映画すごいなあもう一回みたいって本気で思った、絶対みる！もう完全にバーフバリの虜です、、はぁぁそれくらい好き、バーフバリ！最高寝なきゃなのに余韻から抜け出せなくて、言葉探したり俳優さん見たりいろいろしてたら2時間くらい経ってた笑,2022/11/17
3.7,「道は自分で開く！」とか言ったか 誰かに言われたかしてヤシノミ特攻するとこで腹が壊れた。壁に跳ね返されてたグループいたよな笑バーフバリ（親）が愛されるのはわかるが、ストーキング野郎バーフバリ（子）は血統オンリーで無条件で愛されてまくっていて、なるほどコレはバラーラデーヴァさんじゃなくとも嫉妬で殺したくなるよなぁ等と神話にツッコんでみたり。それはそうとバラーラデーヴァさん像のもげた首が最後の最後まで散々な目にあうの狂おしいほど好き。まあ、でももういいかな（ゲップよしRRR行く。,2022/11/15
4.3,ハーフバリ父すごいパーフェクトすぎてもうなんか立派で理想すぎる。王女テーブァセーナーと国母シヴァガミともに、めちゃ立派で気高く強い人として描かれてて、こちらもまた理想型。テーブァセーナーは前編と打って変わってめちゃくちゃ美しく強いのでハアァ…素敵って感じ。観たいと思ってたのだが腰が重くて、RRR観ておもろかったんで、よしこちらも！と、伝説誕生〜王の凱旋までぶっ通しで観た。(濃い…)物語としての善悪、勧善懲悪が、昔々の伝説の話っぽくて現代の価値観とはまた違い、受け入れやすかった。また、全体的な話の構成やそれぞれの人物描写もしっかりしていて、余す所なく説明してくれる感。そのせいか、こちらの後編は父のキラキラした神がかったパーフェクト感が凄すぎて、息子の影が薄くなっている。そして、ハーフバリ父はほんと幸せになってほしいのに叶わない望み…あんないい人があんな風になるなんて非情すぎる。ほぼ全ての良い面が、理想すぎて憧れるわ…でも、戦いで人を殺しすぎなのでそれは矛盾だが…笑。そんな戦わんでも…っておもったり。え？これって自国の兵殺してるやんけってとこもあって、オイオイとはなった。インドは結構男尊女卑なのかなと思ってたけど、なんだかすごい女性強くて、素晴らしい意見をしっかり言える権限があって、尊厳が守られてる感ある描写多くて驚いた。貴族だけかしらね。でも、国母が女王ではないのはよくわからないとか、その世襲制とか王位継承権のルールがわからなく戸惑った。ツッコミどころある場面や、流れの辻褄もおや？と思う部分あるけど、その他の派手な部分でかき消されて、全体的に筋が通って理想の勧善懲悪のストーリーでドンバンガシャン！って感じ。よくわからん作戦は、笑えるけど強い。そして戦車やばい。それによりハーフバリが身一つで強いというのが際立って良し。おすすめ…ダンスはほぼ無い。,2022/11/15
4.4,偉大な英雄バーフバリ、最期まで大正義だったわ…父バーフバリ編が濃過ぎて、息子に戻ってからはサラッと終わった感はあるけど良かった。あと人飛ばす戦法面白すぎる笑,2022/11/14
3.7,嫁、気が強すぎ（笑）。さすがの戦闘シーンは圧巻。でも２部作で続けてみるには長い。個人的には「RRR」が好きかな。,2022/11/12
4.0,完全版を見ました中盤悪役酷すぎてしんどかった、、カッタッパァｧｧ、、おれ子供の頃にこの映画見てたら弓道部入ってたかもしれないな！？ってくらいに例の身バレシーンは最高だね！？弓以外のアクションシーンも全部最高だけどね！？なんか投げられたら基本ノールックで受け取れんの強すぎ後ろにも目あるな壮大なインド映画見た後にアメリカ映画を見ると、地味だね！？人数少ないね！？となるから困るねやめて！？,2022/11/12
4.5,ムービープラス放送分を録画して鑑賞。ドヤ顔でバーフバリの名前を言うカッタッパさん、大好きです。2作目の方が、展開も音楽も好き。異常なほどに盛り上がる！世界公開版、鑑賞済みです。完全版となってますが元々のインド公開版がこちら。時間があまりにも長いので20分ほどカットしたのが日本で最初に公開された世界版。うむ、お兄ちゃんは董卓ですね。てか、色んな意味で三国志っぽい。開始から2時間10分に渡る回想シーンを経て時間軸が、子バーフに戻る。どっちがメインか、はっきりしてる。カットされてた唄もデーヴァセーナの心の変化を表す曲。国際版を否定するわけでは無いのだがインド公開版を観てしまうと意味のあるシーンがカットされてて本当に苦渋の決断でカットしたのが伝わるし、無駄なシーンが無いことにも改めて驚かされる。あと、国際版を観た時にはあまり感じなかったがパパバーフに怨みは無いんだなと。死に際で育ての母を想い、国の繁栄を願う。何故とか、無念とか、子供を頼むとか一切ない。王と言うより、やっぱり神。子バーフは、滝登って本当の母に会って、覚醒して人格が変わったが如く怒りの化身となる。母の怒りに取り憑かれたように。これもまたインド的には神ってる。ラストのお兄ちゃんの黄金像の顔。こっちの方がしっくりくる。ただ川をコロコロ転がってた国際版と違って子バーフが登った滝を入れ替わるように黄金の塊が落ちて来る。そして、前作冒頭で子バーフが滝の下のに置いた願いの石像が映る流れは一つの物語の完結として美しく纏まってる。スタッフロール中に入る会話。バーフバリは王になったの？って。なんか、なってないっぽい言い方しててそれも凄く気になりました。王を讃えよ！はやっぱり、パパバーフにですね！単純にカッコいいんだもん！2022-371,2022/11/11
4.3,前作は割と謎が残ったまま終わったけど、今作で全て回収されて、ああなるほどなと。前半は過去の話、後半は現在の話という構成なんですが、とにかく前半が重い。ここまでバーフバリを......というストーリーで、見ていてストレスがすごかった。民が抱えている問題や不安を知るために、王が自ら街に行きなさいという言葉は良かったけど、いや、貴方もじゃない！？ってツッコミしたくなった。そもそも、1人の人間の意志が絶対合っているという考えは怖いな。一度も間違うことのない人なんていないのだし。そういった前半を乗り越えての後半。子バーフバリの見どころがたくさんでしたね。過去では父バーフバリとデーヴァセーナの弓のシーンがすごい興奮したんですが、子バーフバリも父親譲りの突飛なアイデアに驚かされたり、バラーラデーヴァとの闘いで熱くなったりと、映画としての面白さが凄い。今後のインド映画に期待大ですね。,2022/11/10
4.9,今まで見た映画の女性キャラでデーヴァセーナが一番好きかもしれない。登場シーンや2人で弓を射る場面、惚れ惚れする。悲劇だからこそ美しいんだけど、我々はアマレンドラ・バーフバリの物語を追ってきたから、ねえ………(/_;),2022/11/10
3.8,S・S・ラージャマウリ監督。やーっとの鑑賞。前編どんなだっけと思いつつ、観出したら思い出した。お話が過去に遡り、壮大さが増す感じに。インド映画に不可能はない！段々インド映画の特徴に慣れてきました笑。いつもながらの力技に星付け。(2022.404本目),2022/11/09
