score,review,date
2.5,次々と出てくるヴァンパイアに興奮した！スピードとスリルがあってとても楽しかった。スカッとしたい時におすすめ。,2022/11/17
4.0,プロットはさておき、アクションのクオリティが高くて期待以上だった。見たことない共闘の動きばかりで見応え抜群！酔ったときとかに最高かもと、エンドクレジット後のスヌープさん最高！,2022/11/16
3.0,ヴァンパイア用日焼け止めクリームの設定おもろ。思い返すと結構斬新な設定があってテンポ良く進むしアクションシーンも良かったと思う！パパのカーチェイスと娘のiPadのレーシングゲームが連動してたところ好き。,2022/11/16
3.6,気楽に楽しめるアクションスヌープ・ドッグとデイブがいい感じ娘も肝すわってて良かったカーラの悪役も素敵だった,2022/11/15
3.5,最初から戦うシーンで楽しかった。ヴァンパイア強いけどそれ以上にヴァンパイアハンター強すぎじゃない？笑笑日差しがダメなヴァンパイアが日焼け止めを開発して日差しをちょっと克服してたのすごい笑笑ヴァンパイアって鏡に映らないの！？,2022/11/15
2.8,化け物感(獣感？)が強いヴァンパイアものが好きな人はきっと好き。ヴァンパイアハンターがシフト制で働いているのも斬新。話の展開はありきたりな印象だったから、アクションとか隙間に挟んだコメディ、世界観を純粋に楽しむ映画かなと思った。ヴァンパイアの動きとかアクションの動きはテンポも良く工夫されていて、見応えがあるので人間ならざる動きのアクションを観たい人は是非。銃の扱いや撃ち方も派手で好き。,2022/11/15
3.6,家族に内緒でヴァンパイアハンターしてたけどババア殺したらなんかヤバいやつに狙われちゃったや💦というコメディアクションものだった久しぶりに適度に入り込めて笑うところもありな楽しいアクション映画見たなという娘の学費のためにがんばるお父さんが超イイ。ヴァンパイアって排泄しないんですか！？,2022/11/14
3.0,単純明快ドラキュラ退治。深く考えなくてもよくテンポも良い、見やすい。,2022/11/14
4.0,ジェイミー・フォックスって本当に独自の路線を持ってると思います。エディ・マーフィーみたいにコメディゴリゴリと言うわけではないけど、たった一言で笑いを生むことができるし、シリアスな演技もそつなくこなせる。物凄い俳優だなと改めて思いました。そして何も考えずに楽しめる映画だと思う。この手の映画は本当にいい。スヌープ・ドックはカメオかと思ったけど、かなり登場するし、California loveから始まるのがやばい。マジでお金を稼いだらLAにいってみたい。,2022/11/14
3.7,スタイリッシュ吸血鬼映画吸血鬼にも種族があるらしいけど、あんま触れられてない、、もっと面白くなりそうな感じはする,2022/11/13
4.5,ジョーダンか？サイズは？家族に内緒で日勤（デイシフト）のバンパイア退治！なお話。ひたすらアクションが続く、見ていて飽きない印象！所々笑える所も個人的に好き(^q^)バンパイアの動きキモいし、痛々しさとグロさがかなり強めに感じた(゜ロ゜)色々な仲間と共闘していくけど、一つ一つ変わっていた印象、アクションのギミックもイケてる！！,2022/11/13
3.4,なんか雰囲気似とるもんでアカデミーでビンタした人かと思ったら違っとった。あれはウィル・スミスだわ。というわけで、この映画。ハリウッドの真っ青な青空の下繰り広げられるヴァンパイア・ハンターのお話。コミカルで軽快でまあまあ面白かったが。わしとしてはやはりオーソドックスな雰囲気のヴァンパイア映画の方がええな。,2022/11/13
1.3,2022年170本目（吹替）California love流れてめっちゃいいやん！っておもったらまじかあ、ヴァンパイヤ😭😩ムリスヌープとかもでてるっぽいから見切りたいけど、気持ち悪くて流石に離脱しそうになりました、、と言うか闘いシーンはほぼ目逸らしセスと同じくおしっこ漏らすかと思ったよ（？）w結局ヴァンパイヤと仲間？になるのめっちゃ謎、他に仲間いるだろ！まあ、結構乱暴にストーリー形成されてた私好みではないジェイミーフォックスとスヌープ曲と映像の彩度が高くて見た目だけ良かった笑笑,2022/11/13
2.7,映像美とストーリーの乖離が大きかった。ゾンビ映画は苦手だが、全然観れた。,2022/11/12
3.4,『ゾンビランド』のヴァンパイア版みたいなアクションコメディ。この手のゾンビ映画はたくさんあるけどヴァンパイアはあんまり観ないなと思って鑑賞。特に真新しい点はないですが倒したヴァンパイアの牙を持って組合に行くと換金できるっていうのはモンハンみたいで面白い。ゆるくて緊張感はないけどヴァンパイアハンターたちのシュールな日常シーンが楽しくて爽快なアクションも多くて気持ち良い。#アクション_phim#コメディ_phim#ヴァンパイア_phim#グロ_phim#2022_phim#Netflix_phim,2022/11/12
3.5,一狩りして稼ごうぜ最初の伏「線」が、まさに最後の武器的なね。強すぎる敵には、やっぱり知恵を使いましょう。途中の兄弟普通に強くて好き。,2022/11/12
3.8,ジェイミー・フォックス扮するヴァンパイアハンターとヴァンパイアとのバトルシーンは迫力満点でした！また、ドラクエ要素のヴァンパイアの牙を協会に持っていくと報酬貰える設定も単純で分かりやすかった😉ヴァンパイアハンター作品は、孤高の設定が多いですが、今作バディがいて、最初はチームワークないが徐々に絆を深めてい過程も楽しかった！,2022/11/11
3.6,🧛【Day Shift】♦︎公開:2022年♦︎監督:J•J ペリー♦︎鑑賞 #netflix⭐︎ #filmarks : 3.6(2022/11/11時点).(あらすじ)清掃員を務めるバド。実は彼の本職は吸血鬼ハンター。家族間問題も発生している子と同時にある老婆の吸血鬼を倒したことで今までにない脅威と立ち向かわなくてはならなくなる。.(感想)特に難しい内容ではなくテンポ良く話は進んでいく。吸血鬼問題を解決することで、家族問題も解決につながるかも？という話は面白い。他の吸血鬼ハンターもかっこいいし、戦闘シーンも圧巻.........#JamieFoxx#cinema #movie #cimephile #films #映画 #映画鑑賞 #シネマ #映画好きな人と繋がりたい #映画ノート,2022/11/11
4.0,"超現代的バンパーハンターのお話(笑)カリフォルニアを舞台に格式の高さを全く感じない""組合員""のバンパーハンターってのはなかなか面白い難あり凄腕ハンターのバド(J・フォックス)、元々は事務員でボスの一言で現場に出る事になるイケメン、なのに全くダメダメなおもらしセス(デイブ・フランコ)バドの元バディのビック・ジョン(スヌープ・ドッグ)、バドの生計を助けとなる質屋のトロイ(ピーター・ストーメア)と癖強なキャストでグロもあるけどしっかりコメディな観やすい作品ただひとつ⋯冒頭のシーンの伏線回収できてないのが気になる💦",2022/11/11
3.5,ジェイミー・フォックスがヴァンパイアハンターに。私の中でVハンターと言えば、ウェズリー・スナイプス。もう彼しか考えられない。…なので、今作はJフォックスがらしくないハンターを演じてますね。(私的に)だって見た目がアロハシャツだもんね。武装無しで挑む勇気凄いんだが。ストーリー的には、ヴァンパイアの牙を売り捌いて生計を立てる男の家族再生の話。笑いあり。グロあり。涙なし…(トロイのとこ泣く所？)普段コメディって全くと言っていい程観ないんですが、大好きなヴァンパイアものなので、チャレンジしてみたけど観て良かったなぁ。特にイケメン、セスのダメ男ぶりと、頭を繋げるのに手こずる所とかめっちゃ面白かった☺️可愛いセス。,2022/11/10
3.3,なんと言っても音楽が良き。アクションシーンのキレも迫力あり！（最初ゾンビ映画だと勘違いして、なんてキレキレのゾンビなんだと思ってしまった…w）ストーリーや展開に真新しさはないけど、頭使わずに観れる作品。,2022/11/10
3.8,アクションがアクロバティック的な感じで面白かったストーリーはそこそこだけど,2022/11/10
3.8,<2022年　146本目>まるでブレイドのようなヴァンパイアハンター要素とジョンウィックのような殺人アクションがマッチした最高の作品でした。アクションシーンは文句なし。とてもスピーディーかつ観ていてスカッとする倒し方をするので興奮すること間違えなし。物語のテンポは少し遅いと感じてしまったけど全体的に楽しめる作品でした。,2022/11/10
2.5,首の跳ねかたにも個性もあってアクションは良かった気もする全然噛み付くような描写がなかったり、歯文字を作るくらいの恨みの割に母娘に手優しい吸血鬼サイド、浅めなセリフが後半になるにつれて笑えてきてB級映画的な良さを楽しむ作品という感想に落ち着いた,2022/11/10
2.1,期待してなかったけど案の定あんま面白くなかったヴァンパイアをテーマにしつつ一応テイストはコメディって感じなんだろうけど、笑えるシーンはないし楽しくもないし…グロ描写は結構多かったけど、軽いノリの中にグロがあっても違和感満載だった映像はきれい,2022/11/10
3.8,相棒のキャラが良い。スヌープが美味しい役回り。派手なアクションとのんきなストーリーで、気楽に観られて楽しい。,2022/11/10
3.7,新感覚ヴァンパイア。全体を通してアクションの連続。これがアクロバティックでキレキレ、楽しく観れました。昼はプールの清掃員だが、その正体は、ヴァンパイアハンターであるバド。1週間以内に8歳の娘の授業料と歯列矯正の費用を捻出しなければならなくなり、金を稼ぐためにヴァンパイアハンターの仕事に専念し、吸血鬼を狩りまくることにする。ネタバレ↓冒頭、老婆のヴァンパイアを倒す場面で、これが強くて、物凄く素早い、そして、アクロバティック。他のヴァンパイアも見事な動きに加え、人間ではありえない方向に関節を曲げられるのが新鮮でした。動きがまるでパルクール。アクション多めの作品だけど、相棒のセスの存在が良い感じにコメディ要素を入れてくれて、楽しく観れました。ヴァンパイアの牙を売って稼ぐって発想は、面白かった。しかも婆さんだと高額になるなんて…。そして、ビッグ·Jがスヌープ·ドッグ！結構ノリノリで面白かった。娘を乗せてのめちゃくちゃなカーチェイスすら、楽しかった。けど、一番のお気に入りは、セス。まさかのヴァンパイアになってしまったが、お漏らししなくなって良かったね。サクッと楽しめます。,2022/11/10
3.5,スヌープ・ドッグが喋る、笑う、ぶっ放す、葉っぱを吸う、それだけで面白い。,2022/11/10
4.2,おもしろっ！！目にも止まらぬ超絶スピーディーアクション。次から次へとヴァンパイアを薙ぎ倒していく様は観ていて爽快。中身は無いので、頭空っぽにしてどうぞ。,2022/11/09
