score,review,date
4.0,キアヌはいっつも不幸な目に遭うなぁすごい面白かった結構巻きで終わっちゃったけど180分くらいの尺でやってもいいくらい面白いストーリーだったな,2022/11/17
3.8,ハッピーエンドで良き。自身を複製〈レプリカ〉だと知った妻がどんな葛藤をするのか中盤ハラハラしたけど、意外と暴走とかなくてすんなり受け入れた感じだったから、ちょい盛り上がりに欠けたかな。エドが良いやつだっただけに残念だなぁ。,2022/11/16
3.4,人は皆死ぬから成立してると思ってて、再生できるようになるのはなんだかなぁ、と。前半は説明ぽくてダルかった,2022/11/16
3.8,キアヌ・リーブス目当てに視聴。あらすじは他の方にお任せしますが、低評価と言う割には、なかなか面白かった。軍事関係を敵に回してどうするのかな？と思っていたが、なるほど、ちゃんと落ちが用意されていて、めでたしめでたし👍ロボットウィリアム(キアヌ)有りだわ😆👍✨,2022/11/16
1.5,キアヌどうしちゃたんだよマトリックスで人生に衝撃を受けたが、これもまた別の意味で衝撃を受けた全てが粗いストーリーが粗だらけ設定もアラだらけCGもチープ車で逃走しているシーンでスタッフが映ってる気がするんですよね撮影した人も編集でどうにかなるだろうと思って編集の人も見逃していそうよくある杜撰な組織に感じた予算か脚本どこが諸悪の元らは分かりませんが、すべてに対してこんでええかーと匠の技の反対を感じる,2022/11/16
3.3,まあ、好きなテーマだけど、、、終わり方、主人公に都合良すぎないか？クローンのできがすごすぎるだろ！意識移すのもすごいけど、まずクローンのできに驚きだわ。エドが死んじゃうのがびっくり。そして、もう1人のウィリアムが生まれた時、一瞬こいつに乗っ取られるんじゃねとか思ったけど、物分かりいいなぁ。しかもちゃっかり新しいビジネス始めちゃって。なんでジョーンズを復活させたんだ？？ゾーイの作っちゃって、本当にその終わり方でめでたしって感じなのかなという疑問が残った。,2022/11/15
2.8,Amazon Prime Videoでもうすぐ観られなくなると表示され、キアヌ主演ならと鑑賞。・クローン・倫理・記憶・心・ビジネス・第二の人生ん〜、難しい。観終わって鋼錬が頭を過ったのはわたしです。,2022/11/15
2.2,トランセンデンスに近いが、人の心に注力して、もっと内面的かと期待したが、浅かった…,2022/11/15
0.0,倫理観が揺らいでいるわと指摘されても突っ走るヤバいやつＶＳ金儲け,2022/11/15
3.4,ただの科学者ね亡き家族のレプリカ。ジョニデの「トランセンデンス」よりストレートにも倫理観崩壊なキアヌ。映画としてのエンタメ度はこちらの方が高いかもしれませんが、あまり響くものはありません😁これ予算があまりなかったのか映像はイマイチ。まだ最近の映画なんですが。後半はキアヌらしさを出したいのかアクションも入ります。ただこれはもっと狭い範囲の話、それこそ家族内の話に留めた方が面白かったのでは？テンポは良かったけど。まぁキアヌらしくいきたかったんでしょうね。最終的に破滅の道まっしぐらだと思ったけど、そう終わるのか🤔,2022/11/14
4.0,科学者が最強の肉体を手に入れて禁断の技術を手に入れたらこうなるってラストだった。色々人類の禁忌とか最高の難問を容易く超えてくる2人のエンジニアがやばい。トイレで座ったままコピーとるとか設定おかし過ぎるけど安易にビジョンを見せると分かりやすいのかなぁ。ゾーイもだけど、時間空いたり明らかに不自然に元気ピンピンになると整合性取れないから、生身の人間でやると生き返ったとしても間違いなく社会的に死ぬと思うけど、急に実現した時の冒頭部分はこんな感じって言う夢物語SF,2022/11/13
3.0,せっかくの面白い題材が演出で台無しになってる。細かな設定や世界観があやふやな状態なのももったいない。もっと詳細に詰めて、演出もブラッシュアップすればいいのに。モブたちの演技がしょぼいのも気になる。演出がアンビリバボーの再現ドラマ並みのレベルだった。,2022/11/13
2.5,SF、サスペンスもの出演者、キアヌ・リーブス、アリス・イヴなど【内容】天才科学者の主人公ウィリアム(キアヌ・リーブス)は自身が運転する車で事故を起こしてしまい愛する家族4人(妻息子娘2人)が死んでしまうウィリアムは家族を復活させようと密かに家の地下で禁じられた実験を始めることになる手順としては1.クローンを作る、死んだ当時のままで再生するが中身は白紙2.中身を入れる、死体から抜き取った記憶データを植え付ける以上で生前のままの家族が完成する簡単キット、完成後も記憶改変出来たりもするちなみに以上の技術は劇中でも全て過去に成功例のないもの、追い詰められた主人公パワーでなんとかなっちゃうその後、見事家族を復活させたものの、それが最初からバレていてこのままだと家族の命も危ないし、一連の技術が悪用されそうだし、ってことで大ピンチになるんだけど結果的には主人公こそがその技術を悪用してハッピーエンドになるってオチ【感想】良く言えば意外な展開なんだろうけど、ハッピーエンドなんだろうけど、それってどうなの？なオチそもそも最初からそんなこと不可能でしょ？をやってるんだけどそこがダメだと進まないからスルーするとしても、このオチはいただけないかなかなかこんなオチないんじゃない？たいていこう言う系って何らかの欠陥とかで束の間の幸せって感じで終わるじゃんまさかの全員復活で幸せ家族エンドは予想出来なかった、おまけにロボ主人公まで誕生して偉い人洗脳してめでたしめでたし劇中でもやってたけどこれからも何かあったら家族の記憶改変して暮らすの？これからも何かで死ぬ度に復活させるわけ？いやな主人公だねー、こんなの人間じゃないよ、クソ野郎だと思う天才の考えることは理解不能なのかもしれないけど、これはないわー、ダメでしょー,2022/11/13
3.4,そのうちこんなことできるようになるのかな。終わりも良かった。,2022/11/12
4.0,人間の意識を読み出し、それをロボットやクローン人間に移植する科学者をキアヌ・リーブスが演じる映画です。これは、SF好きとしては、とても魅力的なテーマですので見てみました。人間の脳内にある情報をデータとして読み出し、それを加工しロボットにインプラントする実験を繰り返していたウィリアム（キアヌ・リーブス）は、交通事故により家族4人を亡くしてしまいます。ウィリアムは、亡くなった家族のクローンを作り、そこに脳の情報をインプラントし、家族を再生しようと試みます。すごいですよね。自分の意識を新しい体にどんどん移植する事が出来てしまう話です。こうなると人間は死ぬことなく、不死の世界が実現されることになります。また、年を取って若い体に戻りたければ、自分のクローンを作り、そこに意識を移す事で、いつまでたっても若い体を維持出来ます。これは、魅力的な未来なのか、やってはならない禁断の技術なのか、いろいろと論争を呼びそうです。キアヌ・リーブスが、AR（Augmented Reality : 拡張現実）のディスプレー操作する姿が未来的ですね。あと10年くらいするとこういったヘッドセット型のディスプレーが当たり前になるんでしょうか。映画では、亡くなった4人のうちの末っ子だけが、クローン化出来ませんでした。末っ子が存在していたことを他の家族に気づかれないように、脳の情報から削除したり、その子の持ち物や写真を捨てたり、その子の描いた落書きを消したりするシーンは、とても切なくて悲しかったですね🥲。サイエンスが好きな人やキアヌ・リーブスが好きな人にはお勧めの映画だと思います。私は、未来のテクノロジーを垣間見ることが出来たので面白かったです😉。,2022/11/12
3.4,人間の意識をコンピュータに移すことに成功した科学者が、事故で家族を失って、家族のレプリカを製作する、ってあらすじ以上でも以下でもない作品。2019年公開の作品なのに予算の都合かCGが荒くて近未来テクノロジーが面白いってこともない。最後にハッピーエンドになったのはちょっと意外だった。同僚と妻の物分りの良さ。2022-599/字幕,2022/11/12
3.6,「おいおいこんなのバッドエンド一直線だろ？？！」って感じの冒頭から「おいおいなんでこんなすべてがうまく転がってんだよ！？！？！敵と和解してビジネス始めるって何だよ！？！！！」ってラストまで一気に駆け抜けていく感じ嫌いじゃない。始まりから終わりまでマッドサイエンティストじゃないと辿り着けない領域だった。お友達だけ気の毒,2022/11/10
4.6,死んだ人間の意識を移植できる技術の研究者の家族が死んでクローン人間を作る話しそこに会社の悪い奴が出てきて逃げたり戦ったり面白かった。設定がいい。,2022/11/10
3.5,マッドサイエンティストなキアヌ。こういう蘇生は悲しさと後味の悪さがある。,2022/11/10
0.0,今年見た124本目の映画10点中4点全然嫌いじゃないけど上手くいきすぎ家族を失ったからクローン人間を作ろう科学者は怖いもんだ,2022/11/09
3.8,終始上手くいきすぎで、最後は逆に気持ちよく終わった発想面としてはなかなか興味深い映画だった,2022/11/08
