score,review,date
0.0,カミーユは「“母親”という存在が必要だった」という理由から、離婚後は年の一回会うことすら嫌がっていた母親と共に暮らし始めた。それは、“男性”ゆえに理解できないもの／“女性”ゆえに理解できるものが存在すること、それがカミーユという一人の少女の“性”の捉え方、或いは“性”そのものに大きな影響を与えていることを端的に示しています。 やがて、カミーユはデヴォンという一人の少年に恋したことをきっかけに、自身が持つ“女性”を強く意識し始めたものの、それがあくまで成熟し始めたばかりのものであったために、スケーター仲間の女子たちとの軋轢をも生んでしまいます。そして自身の持つ“女性”が未熟であることを、“男性”を持つデヴォンから突き付けられ、深く傷付いてしまうのです。 一人の少女が自身の持つ“女性”を自覚し、自覚したことで失恋という名の傷を負い、傷を負ったことでその先に残った友情に気づくという、青くて苦い、けれど多くの人々が共感するであろう“性”の成長を描いた物語です。　(引用元: https://cinemarche.net/drama/skatekitchen-netabare/#i-2),2022/11/15
3.0,このタイプの映画みると青春時代の悩みっていいなぁって絶対思っちゃう,2022/11/14
4.2,どのスケート映画でも感じるけど、みんなスケボーに乗ってる時だけは何処にだって行けるような無敵の自由さを感じて、その姿にとても惹かれてしまう。スケボーだけが心の拠り所で、その魅力を分かち合える同年代の仲間たちに出会えた喜びって10代の女の子にとってかけがえのないものだろう。だからこそ仲違いしてしまうところがとてもつらい。たくさん悩んで、いろんな壁にぶちあたって、それでもスケボーだけはやめることが出来ずに黙々と自分の道を切り拓いていくカミーユの姿が格好良かった。,2022/11/09
4.0,透明メガネにクルクルロングヘアーの女の子がスケボーって最高だな🛹先日見た『アイ、トーニャ』は同じスポーツを題材とした映画でも、VFXに度肝を抜かれたけど、こちらは逆にリアルなスケートボーディングのレベルの高さに上手さに度肝抜かれた。みんな遊んでるみたいに撮影してたんだろうなーという感じが伝わってきて良い。アニマルセラピーって言って突然ネズミ出してくる友達やばい。映像も綺麗🙏🏻雑なカテゴライズかもだけど、『mid90s』のガールズバージョンかな、、『mid90s』好きな人は好きだと思う。ちなみにこちらの元になった12分のショートフィルム（miumiuのadvertisement???）も最高なので必見です。主人公が先輩にリップ塗ってもらう良いシーンがあったり、美しい衣裳（多分全部miumiu ）でガールズたちがスケボーしててめちゃくちゃかっこいい。こちれのショートフィルムはYouTubeで見れます。,2022/10/31
2.4,いつか経験したようなヒリヒリした空気感がたまらん。過保護な親、常に孤独感に苛まれ、居場所はスケボーだけ。友達との仲違い、淡い恋の失恋。でも大丈夫、好きなものされあれば。あなたはあなたらしく生きていいんだよって伝えたい。,2022/10/29
3.8,気持ち良さそうに滑ってる時の気持ち良さがブワーとフワッと伝染してきてやった事ないおっさんもスケボーやってみたいって衝動が湧きあがった❤️‍🔥,2022/10/22
4.5,2022年68本目そのままのメンバーでそのまま活動するスケートクルーSkate Kitchenのドキュメンタリーなのかと思ったらちゃんとしててものすごくいい映画だった！カミラにとってただほんとにスケートしたいというものすごくピュアな気持ちで愛してやまないことと同じように、誰かにとっての本気で愛している大切な何か、かつての気持ちが重なりまくりすぎてやばかった！！素敵なんだけどわかりすぎてむず痒すぎる、、ただ、最後Skate Kitchenに戻らないと現実と乖離しちゃうというのでストーリーとしては仕方ないのかもだけど、謝罪して戻るだけのカミラの気持ちはどういうものだったのだろう。隠してたのは謝罪に値するにしても、周りにまであんな風に言われる筋合いある？とわたしなら戻らない、、とか思ってしまったが。エンディングがカリウチスのIn My Dreamsも◯—個人的感情メモ—この映画でやばいくらい自分の懐かしい気持ちに出会ったのでメモ。音楽のマニアックな趣味でアンダーグラウンドからメジャーまでかつジャンルも幅広すぎるから女性とはまるで話しが通じたことが未だかつてない。というか未だに本当に音楽の趣味完全一致なんて友達には一度も出会っていない。今も変わらず音楽探求はしてるけどとうの昔に個人趣味として割り切れてるけど。レコードを買い漁りクラブに通い詰め音楽を求めてた20代。胸がどうとかはなかったけど男に生まれたかったとしなんで性別があるんだと思ったことも何度もある。男の子の中じゃないと本気の話はできないのに、とは言え女性の中にいると安心する、けど女子っぽさが嫌い。女性であることには変わりはない。でも女子達は音楽じゃなくてクラブで踊ることが好きという人が多い。またはクラブに行くことをファッションとしてたり男探しとか。楽しみ方は違っててもいいのに、どうにも違和感があった。男子に混ざってつるんでたら、嫉妬され陰口言われたりする。ただ好きなもの一致でつるんでるだけなのに。結局うんざりしてみんなだせーなと思い自分らしくいるため紆余曲折あり東京でてきたんだっけ。そんな思春期の葛藤もうわーーと走馬灯のように蘇った。なんとなくどちらにも馴染めないって経験がいくつもあったー。さらに、趣味や感覚が合い理解者であることが恋なのかと勘違いし相手に受け入れられず妹と言われたり恋愛感情がよくわかってない感じも経験あるし、、もうかつての自分を見ているようでなんだか恥ずかしくなったけどこれは自分だけじゃなかったのだと嬉しくもある。,2022/10/18
3.4,親とうまくいかなかったり、仲間を見つけるけど、本当にこの仲間とうまくやっていけるのか…自分の居場所を必死に探す彼女だったけど、自分らしく生きればいいのにって思った。,2022/10/18
3.6,アメリカならスケボー女子多そうやのにそれでもこんな感じなんか、そうか。あんなに全員にキレられても、ゴメンネ、で仲直り青春ですね母さんとの仲直り、秒速やな！！！！スケボーみてるの楽しかった。音楽も好きやな。,2022/10/16
3.7,スケーターガールのRachelle主演ということでもちろん観た。青春とスケボー。大好物です。カルチャーが大好きなんです。みんな俳優ではなく本物だからリアルだった。Rachelle演技うまくて感心した。映画としてはスケーターガールズの日常×ミュージックビデオって感じで内容はあまりないけど好き。思春期のガキどもは怖いもの知らず！！！最強だね。Nicoちゃんがおっぱい舐めてるシーンだけちょっとショック笑笑,2022/10/16
