score,review,date
3.5,ピエロの背景が知りたくなった。久々にスプラッターみた、お肉が食べたくなるね。一言も喋らなくて正体が分からなく目的不明、快楽殺人なのが不気味さを増して恐怖を感じて良かった。ツッコミどころはあるけどこういうB級スプラッターは気にしたら負けだと思ってる。,2022/11/17
3.0,B級映画の良さが集結したグログロ作品ちょうどいいグロさ加減の1作目。果たして2作目はいかがなものか。#盆栽2010年代ホラー,2022/11/17
3.2,2の日本公開が決定したので視聴ストーリーは特になく、所々人形感もあったりでグロ耐性の強い方にはやや物足りないかも...刃物の演出が苦手な僕は意外と楽しめました！ゴア表現や流血の量は流石ですので、2も楽しみ！,2022/11/17
3.0,よくあるスプラッター映画。ピエロがいい気持ち悪さで最初は楽しめましたが、展開が全然ないので飽きてしまいます、、ピエロから逃げる時にいっつも鍵開かないしツッコミどころ満載,2022/11/17
1.0,グロいだろうけど、それ以外見る点がないかなという感じでした。ツッコミどころも多いので気にし出したらキリが有りません。,2022/11/17
0.0,とにかくグロい映画知らない~？って聞かれたら、テリファー！って言うときゃ何とかなる聞いてくる人居るんかな,2022/11/17
1.5,とにかくグロテスク。最後まで意味がよく分からなかった。早送りで見ました。,2022/11/17
3.5,ピエロきもすぎる。グロい。あとイライラする。はよ逃げろよ。倒しきれよ。とどめさせよ。。,2022/11/16
3.5,内容的にはよく分からないところもチラホラだったけど、スプラッターホラーとしてはなかなか面白かった。,2022/11/16
3.3,みんな生き残る気ないだろと終始イライラ。グロ描写はかなりのビジュアル。,2022/11/16
3.0,全米が吐いたというテリファー2で存在を知り観てみることに。ハロウィーンの夜、ピエロの男が次々と理不尽に殺人を犯していく。テンポ感よく、程よい緊張感、グロさ(?)で進んでいくストーリー。惨殺シーンはCGに頼らず手作り感があって良かった👏テリファーの素性がしれない感じがホラーニューキャラクター登場だなと。エンターテインメント性が強いスプラッター映画って感じでした。2も機会があったら観てみたいです◎,2022/11/16
3.9,一度見たことがあるけど、テリファー2が話題になっていてテリファーを観ている人が羨ましすぎる！ということで、2は観れないので1を再鑑賞！笑この映画は最初から最後まで手を抜かず、精一杯グロを出してきている感じがしていいなと思った。スプラッター映画は沢山観てきているが、そんな自分でもやはりこの映画は痛々しい。殺人ピエロが声を出さないところ、笑顔なところがとても不気味。ドナルド・マクドナルドをはじめピエロはほとんど全て苦手なのだが、このピエロの顔は特に苦手かも？と思った。ピエロの着ている服が白色なので、ラストに向かうにつれて血で赤く染まっていくのが恐ろしい。意外にも笑えるところが数カ所ある。もっとグロい映画ないのー？っていう人におすすめ。とにかく2の日本公開を願う！,2022/11/16
3.6,80分でサクッと終わるグロホラー。ストーリーはあってないようなもの。ピエロ？と呼んでいいのかよく分からんが、白い顔したイカれたやつがひたすら殺していく映画。スリルとゴア描写を楽しむだけの映画。殺しに必死さがないのが余計あたおか感を出してていい。音で驚かしてくるシーンが多くあったのもあって、終始ドキドキしてました。逆さに吊して真っ二つはとても良かったと思います。ゴア描写という意味ではそこまでなので（なんなら最初の女の人が一番怖い笑）、やべえ人間を見る！ってのが割とメインかな。もっと殺しに工夫があったりもう少しグロテスクだったりSAWみたいな驚きがあると、なお良かったと思います。続編も楽しみです。,2022/11/16
0.0,想像できる範囲での最悪の事態が全部起きるので、そういう気分な人はどうぞ（？）,2022/11/16
4.0,ナニコレ大当たりなんだけど。今のところクラウン系の映画で1番ドキドキした！好き！このクラウン大好き。日本語版ジャケットも最高に笑えるwww『ギコギコしちゃうぞ！テリファー』たのむから変なところで笑わせないでwwwwwチープで不気味なクラウンが笑うとなーんかこっちも笑えちゃうんだけど、笑った後に「これ…笑って良いやつ…？」ってとっても不気味な後味があるよねえ。お笑いとホラーは紙一重ってまさにコレ。細身で長身、面長ゴツゴツした顔のクラウン。クリーチャー好きとしてめっちゃ推せる！！！最高ヴィジュアル！！そしてB級感漂うグロさがたまんない笑笑このクラウンの俳優はだれ？？？ほんとに普段から道化師を職業にしていそうなほど動きのキレと見せ場があって終始息が詰まった。まぁただ主人公が変わる前までの方が緊張感があってよかったかなぁと思う。あとは人間の強さであってほしかったな。そんだけ！その後も全然面白いのだけど。あとも一つだけ言うと、おねえちゃんは来た道戻って逃げてくれ笑そしてしっかり痛い描写ではこっちも顔が歪んでしまうような、リアルな痛さあり。なんて不気味なの。しゅき！！！,2022/11/16
2.5,話題になっていたのでみました。ピエロこっっわ‥これはほんとに気持ち悪いやつ。ホラーは好きなんだけど、こういうのは苦手（笑）このポスターも色味とか嫌い。,2022/11/15
3.2,目的がわからない、びっくりさせるためだけのB級ホラーこれがスプラッター映画っていうの？,2022/11/15
3.5,久々に見たけど、みんな詰めが甘過ぎて生き延びる気あんのかと言いたくなる。タラとか何で刃物から木の板っきれにわざわざ武器チェンジしたよ。やる気あんのか。奴が不気味過ぎて少しでも距離取りたい気持ちは分かるけど、奴に負けないほどの殺意を持って臨んだ結果やられてほしい。ヴィクトリアはあの顔で生かされたの拷問だと思うわ。私も安楽死がいい。あのピエロ、動きと顔芸がまさに狂気。エミリーをあやす手つきがめちゃくちゃ優しいのがこれまた怖い。そして一言も声発さないであの存在感って凄い。あんなのがどこからともなく現れてこっち見ててピザ屋について来て近くの席からじっっっ…と自分を見てきてたらその時点で警察呼ぶレベルの怖さだよね。多分仮装してなくてもあの鼻と汚過ぎる口元と死んだ目だけでめちゃくちゃ怖いと思う。個人的に検死の最後のシーンが微妙。拳銃自殺したんだよね？何で死んでないの？人間じゃないの？ええ？？？っていう。不死身モンスターじゃくて、気狂ったただの人間であってほしい。,2022/11/15
3.4,面白さでいうとストーリー性があまり感じられないので途中で飽きてしまいそうだけど、好きな人はたまらないかも。また、グロさでいうと気味が悪く、非常にグロいので苦手な方は閲覧注意ですね。ピエロの無言が終始、気味を悪くさせ独特な世界観を生み出している。そして、ピエロの俳優さんも演技は素晴らしい。求める要素で、好みや評価が大きくわかれる作品。,2022/11/15
